Kategori,Rekening,Jumlah,Tanggal,Catatan,Tipe
Kirim Saldo,SHOPEE PAY,"200,000",2025-05-03 12:08,Ke SeaBank,-
Terima Saldo,SeaBank,"200,000",2025-05-03 12:08,Dari SHOPEE PAY,+
Utang,SeaBank,"50,000",2025-05-03 12:08,,-
Kirim Saldo,MANDIRI,"500,000",2025-05-03 12:06,Ke SHOPEE PAY,-
Terima Saldo,SHOPEE PAY,"500,000",2025-05-03 12:06,Dari MANDIRI,+
Biaya Admin,MANDIRI,"5,000",2025-05-03 12:06,Biaya Admin,-
Utang,BANK BRI,"303,000",2025-05-03 11:51,Kredivo April 2025,-
Gaji Maxximum,MANDIRI,"6,500,000",2025-05-03 11:48,April 2025,+
Makanan,DOMPET,"15,000",2025-05-02 19:40,Sate,-
Ayang,BANK BNI,"225,700",2025-05-01 17:15,Baju,-
Minuman,DOMPET,"35,000",2025-05-01 11:39,Galon ,-
Adm Bank,BANK BNI,"21,516",2025-05-01 10:48,Rugi Investasi Dari Bibit,-
Kirim Saldo,Bibit,"420,000",2025-05-01 10:47,Ke BANK BNI,-
Terima Saldo,BANK BNI,"420,000",2025-05-01 10:47,Dari Bibit,+
Belanja,BANK BNI,"105,600",2025-05-01 10:39,Belanja Mingguan,-
Laundry,DOMPET,"54,000",2025-05-01 10:25,,-
Minuman,BCA Blu,"8,000",2025-04-30 16:58,Cimory,-
Kost,DOMPET,"650,000",2025-04-29 21:39,Mei 2025,-
Bensin,DOMPET,"100,000",2025-04-29 21:39,,-
Kirim Saldo,DOMPET,"50,000",2025-04-29 21:38,Ke BCA Blu,-
Terima Saldo,BCA Blu,"50,000",2025-04-29 21:38,Dari DOMPET,+
Belanja,MANDIRI,"45,300",2025-04-29 21:36,Belanja Mingguan ,-
Pendidikan,MANDIRI,"28,000",2025-04-29 21:36,Beli Buku,-
Kirim Saldo,MANDIRI,"800,000",2025-04-29 21:35,Ke DOMPET,-
Terima Saldo,DOMPET,"800,000",2025-04-29 21:35,Dari MANDIRI,+
Ayang,DOMPET,"50,000",2025-04-27 21:40,,-
Belanja,DOMPET,"164,000",2025-04-27 21:40,Celana Chino,-
Jajan,MANDIRI,"76,500",2025-04-27 15:00,Wizzmie cianjur,-
Tagih Hutang,BANK BRI,"150,000",2025-04-26 16:11,,+
Jajan,MANDIRI,"31,000",2025-04-26 03:02,Coklat,-
Bensin,DOMPET,"50,000",2025-04-26 03:02,,-
